Statut & inventaire des immobilisations :;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
Type d'immobilisation :;Section analystique :;Statut :;Type de demande de modification du fichier des immobilisations :;;;;;;;;;;;;;;;;;;;;;;;;
immo inventoriables immatriculables (IMA);7500;Cmd en cours;Mise en service immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
immo inventoriables dénombrable (DEN);7510;Cmd réceptionné - Attente de mise en service;Cession - Vente de l'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
Immo Analysables (VAL) ;7520;Mise en service;Mise au rebut de l'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
-;7540;Perdu;Transfert d'immobilisation;;;;;;;;;;;;;;;;;;;;;;;;
-;-;Rebuté;-;;;;;;;;;;;;;;;;;;;;;;;;
-;-;Vendu;-;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
N°CAB;"Code Projet
(CAPEX)";"N° d'immo / 
Nom fond de dossier";Type d'immo;Fournisseur;Code article;Désignation;Description;N° de série;No CMD;Section analytique;Zone;Localisation;Qté;PU;Montant Cde dans la devise de transaction;Date OA;Date livr.;Date mise en service;Date sortie;Statut;BL;Facture;Type de demande de modification du fichier des immobilisations :;Decription du code projet;Propriétaire;Immatriculé ?;Colonne1
Z21090;23017774;Z21090_23017774_5046950;immo inventoriables immatriculables (IMA);BROD INVEST;;LOT TRAITEMENT D'AIR ISO8;;;5046950;;;;1,00;1100189,00;;21/07/2023;31/12/5999;;;;;;;Salle Grise;;;
Z10001;22015013;Z10001_22015013_5012894;immo inventoriables immatriculables (IMA);MICRODATA;P2319h;Chaise Non ESD;;4DSP8L3;5012894;;;;1,00;;;;22/04/2022;;;;;;;"BE : Augmentation charge/capa (PC)
- Unité centrale (X1)
- Ecran (X1)
- AIO (X1)
- PC BE (X4)";;Immatriculé;
Z10002;22015013;Z10002_22015013_5012894;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;Chaise Non ESD;;2F2WRN3;5012894;;;;1,00;;;;22/04/2022;;;;;;;"BE : Augmentation charge/capa (PC)
- Unité centrale (X1)
- Ecran (X1)
- AIO (X1)
- PC BE (X4)";;Immatriculé;
Z10003;22015013;Z10003_22015013_5012894;immo inventoriables immatriculables (IMA);MICRODATA;JVGGJ-SAFR;Chaise Non ESD;;GLK3SN3;5012894;;;;1,00;;;;22/04/2022;;;;;;;"BE : Augmentation charge/capa (PC)
- Unité centrale (X1)
- Ecran (X1)
- AIO (X1)
- PC BE (X4)";;Immatriculé;
Z10004;22015013;Z10004_22015013_5012894;immo inventoriables immatriculables (IMA);MICRODATA;JVGGJ-SAFR;Chaise Non ESD;;CLK3SN3;5012894;;;;1,00;;;;22/04/2022;;;;;;;"BE : Augmentation charge/capa (PC)
- Unité centrale (X1)
- Ecran (X1)
- AIO (X1)
- PC BE (X4)";;Immatriculé;
Z10005;22015013;Z10005_22015013_5012894;immo inventoriables immatriculables (IMA);MICRODATA;JVGGJ-S;Chaise Non ESD;;BLK3SN3;5012894;;;;1,00;;;;22/04/2022;;;;;;;"BE : Augmentation charge/capa (PC)
- Unité centrale (X1)
- Ecran (X1)
- AIO (X1)
- PC BE (X4)";;Immatriculé;
Z10006;22015013;Z10006_22015013_5012894;immo inventoriables immatriculables (IMA);MICRODATA;JVGGJ-S;Chaise Non ESD;;DLK3SN3;5012894;;;;1,00;;;;22/04/2022;;;;;;;"BE : Augmentation charge/capa (PC)
- Unité centrale (X1)
- Ecran (X1)
- AIO (X1)
- PC BE (X4)";;Immatriculé;
Z10007;22015013;Z10007_22015013_5012894;immo inventoriables immatriculables (IMA);MICRODATA;JVGGJ-S;OPTIPLEX 3080 SFF XCTO;;FLK3SN3;5012894;;BE;BE;1,00;;;;22/04/2022;;;;;;;"BE : Augmentation charge/capa (PC)
- Unité centrale (X1)
- Ecran (X1)
- AIO (X1)
- PC BE (X4)";;Immatriculé;
Z10008;22015302;Z10008_22015302_5020019;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO;;3J5X6R3;5020019;;MAGASIN;SC;1,00;;;;17/08/2022;;;;;;;Enveloppe transfert PLA > SAM;;Immatriculé;
Z10009;22015302;Z10009_22015302_5020019;immo inventoriables immatriculables (IMA);MICRODATA;PH7HG-S;OPTIPLEX 5490 ALL-IN-ONE XCTO;;4J5X6R3;5020019;;USINAGE;PRO;1,00;;;;17/08/2022;;;;;;;Enveloppe transfert PLA > SAM;;Immatriculé;
